Name,Category,Price,Description,Country,Region,Producer,Wine Type,Spirit Type,Beer Style,ABV,Volume (ml)
Green Spot 10 Year Old Single Pot Still Irish Whiskey,Spirit,89.95,,Ireland,Midleton,Mitchell & Son,,Whiskey,,46,700
Green Spot Single Pot Still Irish Whiskey,Spirit,65,,Ireland,Midleton,Mitchell & Son,,Whiskey,,40,700
Teacher's Highland Cream Blended Scotch Whisky,Spirit,29.9,,Scotland,,William Teacher & Sons,,Whiskey,,40,700
Minke Irish Gin,Spirit,45,,Ireland,County Cork,Clonakilty Atlantic Distillery,,Gin,,43.2,700
Yellow Spot Single Pot Still Irish Whiskey,Spirit,95.95,,Ireland,Midleton,Mitchell & Son,,Whiskey,,46,700
Chivas Regal 18 Year Old Blended Scotch Whisky,Spirit,99,,Scotland,,Chivas Brothers,,Whiskey,,40,700
Red Spot Single Pot Still 19 Year Old Irish Whiskey,Spirit,695,,Ireland,Midleton,Mitchell & Son,,Whiskey,,58.5,700
Red Spot Single Pot Still Irish Whiskey,Spirit,150,,Ireland,Midleton,Mitchell & Son,,Whiskey,,46,700
Blue Spot Single Pot Still Irish Whiskey,Spirit,115,,Ireland,Midleton,Mitchell & Son,,Whiskey,,58.4,700
Heaven's Door Tennessee Bourbon,Spirit,89,,USA,Tennessee,Heaven's Door,,Whiskey,,42,700
Dingle Original Gin,Spirit,39.5,,Ireland,County Kerry,Dingle Distillery,,Gin,,42.5,700
Jim Beam Kentucky Straight Bourbon Whiskey,Spirit,36,,USA,Kentucky,James B. Beam Distilling Co.,,Whiskey,,40,700
Smirnoff No. 21 Vodka,Spirit,24,,Russia,,Smirnoff,,Vodka,,40,700
Minke Irish Vodka,Spirit,35,,Ireland,County Cork,Clonakilty Atlantic Distillery,,Vodka,,40,700
Chivas Regal 12 Year Old Blended Scotch Whisky,Spirit,49.95,,Scotland,,Chivas Brothers,,Whiskey,,40,700
Teeling Small Batch Irish Whiskey,Spirit,42,,Ireland,Dublin,Teeling Whiskey Company,,Whiskey,,46,700
Rémy Martin Cognac Fine Champagne V.S.O.P,Spirit,79.95,,France,Cognac,Rémy Martin,,Liqueur,,40,700
Maker's Mark Kentucky Straight Bourbon Whisky,Spirit,55,,USA,Kentucky,Maker's Mark Distillery,,Whiskey,,45,700
Clonakilty Galley Head Irish Whiskey,Spirit,43,,Ireland,County Cork,Clonakilty Distillery,,Whiskey,,43,700
Absolut Vodka,Spirit,37.5,,Sweden,Åhus,Absolut,,Vodka,,40,700
Giffard Crème de Cacao 1885,Spirit,31.5,,France,,Giffard,,Liqueur,,25,700
Giffard Limoncello,Spirit,35,,France,,Giffard,,Liqueur,,25,700
Slane Irish Whiskey,Spirit,42,,Ireland,County Meath,Slane Distillery,,Whiskey,,40,700
Victor Berard Châteauneuf-du-Pape 2024,Wine,34.9,,France,Rhône,Victor Berard,Red,,,14.5,750
Millage Prosecco DOC Treviso,Wine,29.99,,Italy,Veneto,Millage,Prosecco,,,11.5,750
Montegrande Prosecco,Wine,18.95,,Italy,Veneto,Montegrande,Prosecco,,,11.5,750
Valdo Prosecco Rosé Brut,Wine,30,,Italy,Veneto,Valdo,Prosecco,,,11.5,750
1928 Prosecco DOC Frizzante Carvicchioli e Figli,Wine,24.95,,Italy,Veneto,Carvicchioli e Figli,Prosecco,,,11,750
Valdo Bio Prosecco,Wine,29.5,,Italy,Veneto,Valdo,Prosecco,,,11.5,750
La Marca Prosecco,Wine,26.95,,Italy,Veneto,La Marca,Prosecco,,,11.5,750
